"programme","funding_body","country","application_url","status","type_label","citizenship_rule_verbatim","prior_doctoral_enrolment_rule_verbatim","age_or_time_since_degree_limit","money_what_is_covered_and_not","duration","deadline_and_round_status","portable_or_tied","field_fit_1to5","date_retrieved"
"University of Waikato Doctoral Scholarship (2026 regulations)","University of Waikato","New Zealand","https://www.waikato.ac.nz/assets/Uploads/Study-with-us/Scholarships/Find-a-Scholarship/University-of-Waikato-Doctoral-Scholarship-2026-v3.pdf","ELIGIBLE (clearest international clause; Offer of Place needed BEFORE round closes; two attempts max)","SCHOLARSHIP (tied)","""To be eligible, candidates must: be a New Zealand Citizen, New Zealand Permanent Resident, New Zealand Resident Class Visa holder, Australian Citizen/Permanent Resident domiciled in New Zealand, or an international student.""","""Candidates will be considered ineligible if they: already hold a doctoral qualification (or equivalent)."" Also must ""have received an Offer of Place ... but not yet commenced"" and not ""have already been considered twice for this scholarship"". No prior-enrolment clause.","None. GPA bar: ""minimum grade point average (GPA) of A-"" on the entry qualification (Bremen M.Sc.).","""A living allowance of $33,000 in total every 12 months ... for up to 36 months"" + ""The domestic tuition fees"" + ""The Student Services Fee"". ""Any additional costs such as medical insurance, moving costs, and research expenses must be met by other means."" A fees-only variant (reg. 5.2) exists - worth only ~NZ$8k, not fully funded.","36 months","""31 January, 30 April, 31 July, and 31 October each year"" -> next 31 Oct 2026 (Offer of Place must be in hand; compulsory Te Tiriti/Mātauranga Māori statement). English requirements not verified in this pass - assume IELTS/TOEFL.","TIED","1, 3, 4 (Coastal Marine Field Station Tauranga - supervisors not verified)","2026-09-07"
"UC Doctoral Scholarship (UCDS)","University of Canterbury","New Zealand","https://www.canterbury.ac.nz/study/getting-started/scholarships/doctoral-scholarships/uc-doctoral-scholarships","CONDITIONAL - regulations PDF blocked (403); citizenship clause not verbatim","SCHOLARSHIP (tied)","Not retrievable verbatim (regulations PDF returned HTTP 403). International-scholarships page lists UCDS for international doctoral applicants with ""a UC GPA of at least 7.0, who intend to study at UC towards their first research doctoral degree.""","""first research doctoral degree"" - more exposed to a first-enrolment reading; ask scholarships@canterbury.ac.nz in writing.","None found.","""Financial assistance to a value of $32,650 per 120 points + tuition fees for thesis-only enrolment for up to a total of 360 points."" Health insurance, SSF, relocation not stated - assume not covered.","Up to 360 points (~3 years)","""now open and will close 15 October"" (2026) for starts before 1 Jul 2027; two rounds/yr (May, October). English not verified.","TIED","4, 5, 3 (Gateway Antarctica; NIWA aquaculture/marine ecology centre)","2026-09-07"
"University of Otago Doctoral Scholarship","University of Otago","New Zealand","https://www.otago.ac.nz/courses/scholarships/university-of-otago-doctoral-scholarship","ELIGIBLE (page read via reader proxy on 2026-09-07 - otago.ac.nz blocks direct fetches)","SCHOLARSHIP (tied)","""The Scholarship is available to both domestic and international students.""","Applicants ""must usually be: seeking to obtain their first doctoral qualification"". No clause on prior enrolment. Disclose Bochum.","None found.","""NZ$34,128 stipend per annum"" + domestic tuition fee waiver for 36 months; ""excludes student services fee and insurance"". AskOtago: ""Many scholarships do not cover the Student Services Fee, insurance (for international students), or other sundry fees"".","36 months maximum","""Applications are considered at quarterly rounds held in March, June, September and November ... submitted via eVision with a completed departmental assessment by the first day of each round month."" -> 1 Nov 2026, 1 Mar 2027. English: IELTS 6.5 (6.0) / TOEFL 95 (W22) / PTE 64 / C1-C2 176 / Duolingo accepted; prior English-medium study exemption limited to a country list (Germany absent).","TIED","1, 2, 3, 4 (Marine Science, Geology, NIWA Research Centre for Oceanography)","2026-09-07"
"Earth Sciences New Zealand (ex-NIWA/GNS) co-supervised PhD projects via the Joint Graduate School in Coastal and Marine Science (UoA) and sister centres (Otago, Canterbury, VUW)","Earth Sciences New Zealand + host university scholarship","New Zealand","https://niwa.co.nz/about-niwa/tertiary-institutions-we-work","CONDITIONAL - project-by-project; the one advertised PhD (marine heatwaves, deadline 12 Oct 2025) is stale and physics-focused","STUDENTSHIP (named project, funded at host-university scholarship rates)","Joint Graduate School: ""young scientists from New Zealand and around the world""; the heatwave PhD PDF: no citizenship clause, ""match University of Auckland Scholarship conditions"". (NIWA Masters scholarships require NZ citizenship/PR - see ineligible list.)","No clause found (inherits host scholarship rules).","None.","""Financial support is directed primarily at the PhD level, with research students funded through University scholarships, Ministry scholarships, industry funding and NIWA."" Example: ""Fully funded PhD (tuition + stipend) for 3 years ... match University of Auckland Scholarship conditions"" (NZ$35,468 + fees + insurance).","3 years","Ad hoc; identify an ESNZ scientist + university co-supervisor, then enter the university scholarship round. GNS Science careers page blocked (Imperva) - GNS co-funded PhDs NOT verified; earthsciences.nz lists no studentships.","TIED","1, 3, 4","2026-09-07"
"Research Training Program (RTP) - federal framework (stipend / fees offset / allowance), all Australian universities","Australian Government, Department of Education (administered per university)","Australia","https://www.education.gov.au/research-block-grants/research-training-program/research-training-program-frequently-asked-questions-students","ELIGIBLE (federally no prior-enrolment bar); international fee offset is the scarce, competitive component","SCHOLARSHIP (tied; awarded per university with admission)","FAQ 28: ""To be eligible for an RTP Scholarship (whether RTP Stipend, RTP Fees Offset, or RTP Allowance), a student must be a domestic student or an international student enrolled in an accredited research doctorate or research masters degree at an eligible Australian university. In administering RTP scholarships, universities may only spend up to 10% of their RTP funding per grant year on providing scholarships to international students."" Guidelines 2025 s.14: ""(a) the student must be a domestic student or an overseas student enrolled in an accredited HDR course of study at a HEP"".","FAQ 10: ""The Guidelines do not restrict students who have previously completed a higher degrees by research (HDR) from eligibility for an RTP scholarship."" FAQ 13: ""The Guidelines do not prevent you from being awarded an RTP scholarship for an additional degree if you have previously received an RTP scholarship."" Only a permission for universities to prioritise ""students undertaking a HDR for the first time"" (Note to s.18(1)) - a RANKING risk for his 2016-18 enrolment, not an exclusion. Must be disclosed (UWA demands transcripts ""including incomplete degrees"").","None.","National base stipend AUD 34,315 (2026), AUD 35,550 (2027), tax-exempt full-time. Fees offset for internationals only via ""a competitive selection process"" (s.17(3)); s.15(2): ""A HEP must only spend up to a maximum of 10 per cent of its RTP Grant Amount ... on ... overseas students."" OSHC varies by university. SSAF never covered.","PhD stipend 3-3.5 years; candidature max 4","Per university (see rows below). ""You can apply for an RTP scholarship at more than one university"" (FAQ 4).","TIED","1-5 depending on host","2026-09-07"
"Tasmania Graduate Research Scholarship (TGRS) / UTAS RTP - IMAS Hobart","University of Tasmania / Australian Government RTP","Australia (Hobart)","https://www.utas.edu.au/research/degrees/scholarships-and-fees","ELIGIBLE for stipend; CONDITIONAL on separately-competed tuition fee offset and on IELTS 7.0 he does not hold; 1 Oct 2026 round very tight","SCHOLARSHIP (tied to advertised project + admission; mandatory signed Supervisory Support form)","TGRS Conditions 2026 cl.1: ""To be eligible to hold a Tasmania Graduate Research Scholarship applicants must be eligible to enrol in a Masters by Research or Doctoral degree at the University of Tasmania in 2026."" Page: ""awarded throughout the year to high quality international and domestic candidates."" Rounds: ""Where a round specifies a specific student type (Domestic AND/OR International), only those with that type of citizenship will be eligible to apply.""","No clause found. cl.4: ""The period of support ... will be reduced by periods of study undertaken towards the degree prior to the commencement of the scholarship"" (the UTAS degree only).","None found.","""AUD $34,315 per annum (2026 rate). This rate is indexed annually on 1st January"" - ""non-taxable""; relocation up to AUD 2,000. ""International: Unless a Tuition Fee offset has been awarded, international HDR candidates are charged tuition fees""; ""A tuition fee waiver may be offered to eligible international applicants following competitive assessment."" ""The TGRS does not cover costs and fees, such as the Student Services and Amenities Fee, Overseas Health Cover, and visa costs."" OSHC ~AUD 4,467 (60 months, single). Stipend alone is NOT fully funded. Advertised projects quote ""Up to $44,315 pa"" / ""Up to $39,315 pa"" incl. top-ups.","PhD 3.5 years FTE (candidature max 4)","International & Domestic round for 2027: closes 1 Oct 2026 11.59pm AEST, outcomes 4 Dec 2026 (1 Jun 2026 round was domestic only; 1 Feb 2026 closed). 29 Marine & Antarctic + 18 Earth Sciences projects listed, several international-open closing 1 Oct. English: IELTS 7.0 (no band <6.5) / TOEFL 94 / PTE 65 / Cambridge C1 Advanced grade C within 2 years, or degree ""entirely in English""; UNIcert III not accepted. CSIRO Hobart top-ups: ""generally required to be Australian Citizens or hold Permanent Residency"" (skill-shortage exception only).","TIED","1, 2, 3, 4 (IMAS; CSIRO Environment and AAD co-located)","2026-09-07"
"JCU International Research Training Program (IRTP) Scholarship / JCU Postgraduate Research Scholarship","Australian Government RTP / James Cook University","Australia (Townsville/Cairns)","https://www.jcu.edu.au/graduate-research-school/hdr-candidates/postgraduate-research-scholarships/hdr-scholarships-for-international-candidates","ELIGIBLE (next round 1 Feb 2027); OSHC statements on the page contradict each other","SCHOLARSHIP (tied; awarded with admission; advisers endorse)","""Citizenship: International Students (excluding JCUS based)""","""applicants who already hold a research doctorate (PhD or equivalent) will not be prioritised for RTP funding, including fee-offset scholarships."" ""Preference is given to applicants who have not previously completed a research doctorate."" -> ranking preference keyed to COMPLETION; he passes.","None found.","IRTP: ""Inclusions: Living allowance stipend $37,500 pa in 2027, single overseas health cover, tuition fees."" ""Exclusions: Relocation expenses, Student Services and Amenities Fee."" BUT same page: ""HDR scholarships do not cover Overseas Student Health Cover (OSHC) or relocation expenses"" - contradiction; confirm with grs@jcu.edu.au. Postgraduate Research Scholarship: $37,500 + tuition, OSHC EXCLUDED. OSHC 2026 quote AUD 4,702 single.","3.5 years PhD","1 Sep 2026 round CLOSED (Mar 2027 start). Next: 1 Feb 2027 (Jul 2027 start, outcomes 3 May 2027); 1 Sep 2027 (Mar 2028 start). English ""ELR Band 2"" (thresholds not verified).","TIED","1, 3, 4 (tropical marine)","2026-09-07"
"AIMS@JCU Scholarship (Australian Institute of Marine Science / JCU joint venture)","AIMS@JCU (administered by JCU Graduate Research School)","Australia (Townsville)","https://www.jcu.edu.au/graduate-research-school/hdr-candidates/postgraduate-research-scholarships/hdr-scholarships-for-international-candidates","ELIGIBLE for internationals; OSHC excluded; needs AIMS co-supervisor and extra form","SCHOLARSHIP (tied to AIMS-aligned project)","""Citizenship: International Students (excluding JCUS based)""","No clause on the AIMS@JCU row; JCU-wide RTP preference language applies (completion-keyed).","None found.","""Inclusions: Living allowance stipend $37,500 pa in 2027 + $7,500 pa as living allowance stipend or project expenses, tuition fees."" ""Exclusions: Overseas health cover, relocation expenses, Student Services and Amenities Fee.""","3.5 years PhD","Same JCU international rounds: 1 Sep 2026 closed; next 1 Feb 2027 (Jul 2027 start); 1 Sep 2027. Requires the ""AIMS@JCU Scholarship Application Form"" with the JCU application and an AIMS scientist willing to co-supervise (start 2-3 months out). The old aimsatjcu.jcu.edu.au site no longer resolves.","TIED","1, 3, 4 (focus on ""quantitative marine science"")","2026-09-07"
"UWA 2027 International RTP Stipend and Tuition Fee Scholarships (Oceans Institute)","Australian Government RTP + University of Western Australia","Australia (Perth)","https://researchdegrees.uwa.edu.au/scholarships/1xq575/2027-international-rtp-stipend-and-tuition-fee-scholarships","CONDITIONAL - 2027 round closes 15 Sep 2026 (unreachable: needs secured supervisor + English evidence at submission); target the 2028 round ~Aug-Sep 2027","SCHOLARSHIP (tied; one application = admission + all scholarships)","""Citizenship status | International""; ITFOS Conditions cl.1.1: ""Applicants must: i) meet entry requirements to the nominated course, ii) be a citizen of an overseas country, excluding New Zealand, iii) not already holding an equivalent scholarship designed to offset tuition fees, iv) be enrolled as a full-time and internal candidate"".","""Priority may be given to applicants who intend to enrol in a HDR for the first time, and who have not: previously completed a Research Doctorate or equivalent; previously completed a Research Masters degree or equivalent, unless intending to undertake a Research Doctorate; previously held an Australian Postgraduate Award ...; previously been awarded, or in receipt of a stipend scholarship; a UWA International Fee Scholarship ..."" -> none of the bullets bites, but ""for the first time"" is a ranking risk. Transcripts required ""for all tertiary education (including incomplete degrees)"".","None found.","""Scholarship value | AUD $39,253.30 per annum"" (2027); full international fee offset (RTP Fees Offset/UIFS); OSHC cl.3.2: ""RTP Fees Offset and UIFS: up to family Comprehensive OSHC policy that covers the award holder and dependents"". NOT covered cl.4.2: ""student union fee; student services and amenities fee; fieldwork or research associated charges; living or housing expense; English language course; travel or relocation expense; visa application cost; medical costs"". Best OSHC terms in Australia.","Stipend 3.5 years (PhD); ITFOS up to 4 years FTE","Open 1 Aug 2026, CLOSE 15 Sep 2026 11:59pm AWST; ranking Oct, offers from Nov, start Feb-Mar 2027. ""Applications without evidence of secured supervision will not be considered."" Must ""meet the UWA HDR English language competence requirements by the application deadline"": IELTS 6.5 (6.0 each) / TOEFL 82 / PTE 64 / CAE grade B within 2 years; German Abitur+DAAD route also needs a year of English-taught study -> fails.","TIED","1, 2, 4 (UWA Oceans Institute)","2026-09-07"
"University of Sydney RTP Stipend Scholarship (international) + RTP Fee Offset (or USYDIS + USyd Tuition Fee Scholarship)","Australian Government RTP / University of Sydney","Australia (Sydney)","https://www.sydney.edu.au/scholarships/australian-government-research-training-program/rtp-international.html","ELIGIBLE - highest stipend in Australia; realistic deadline 18 Dec 2026","SCHOLARSHIP (tied; admission application + separate scholarship form)","""You must be a commencing or enrolled domestic or international higher degree by research student."" RTP Fee Offset: ""International students ... Those awarded with a RTP Stipend Scholarship will automatically be awarded this scholarship"".","""Preference may be given to applicants who: intending to enrol or currently enrolled in a PhD, have not previously received an Australian Government or University Scholarship to complete an HDR course at the same level, have not previously completed an HDR course at the same level of study."" -> completion-keyed; he passes both.","None found.","""$44,293 p.a. stipend (2027 rate)"" / ""$42,754 p.a. stipend (2026 rate)"" + ""Relocation and thesis allowance""; RTP Fee Offset: ""100% tuition fees for up to 14 research periods. Overseas Student Health Cover (OSHC)"". USYDIS route: 100% fees but NO OSHC. SSAF and bench fees not mentioned.","Fees up to 14 research periods (~3.5 years)","Submission deadlines: 11 Sep 2026 (RP1-2 2027 - unreachable); 18 Dec 2026 (RP3-4 2027, outcomes from 2 Mar 2027); 10 Sep 2027 (RP1-2 2028). Two submissions required (admission + scholarship form); supervisor identified in admission application; English evidence with admission (UNSW-style test list; IELTS 7.0 clears). 6-10 weeks lead.","TIED","1, 2, 4 (School of Geosciences)","2026-09-07"
"University of Melbourne Research Training Program Scholarship (Stipend and Fee Offset)","Australian Government + University of Melbourne","Australia (Melbourne)","https://scholarships.unimelb.edu.au/awards/research-training-program-scholarship","ELIGIBLE (complete package: stipend + 4-yr fees + single OSHC + relocation); no central round - course-page deadlines","SCHOLARSHIP (tied; automatic consideration on admission)","""Eligible student type / Domestic and international students"". ""The Research Training Program Scholarship (Stipend and Fee Offset) is offered to domestic and international students ranked highest by relevant selection panels"".","""Factors such as completion of a degree at the same level of the research course for which the scholarship is sought ... may be taken into consideration."" No prior-enrolment exclusion found in award page or RTP policy.","None found.","""100% fee remission and up to $138,000"": fee offset ""up to four years for students undertaking a doctoral degree""; stipend ""$39,500 per year (2026 full-time rate)"" for up to 3.5 years, incl. limited paid sick/maternity/parenting leave; ""Relocation grant of ... $3,000 for students moving from outside Australia""; ""Overseas Student Health Cover (OSHC) Single Membership"". 350 awards. Family OSHC and bench fees not covered.","Stipend 3.5 years; fees 4 years","""Application closing dates and intake start dates can be found on the How to apply tab of each course page"" - not published centrally; read the School of Geography, Earth and Atmospheric Sciences course page. Supervisor support + research proposal + referees required (2-3 months lead).","TIED","1, 2, 4","2026-09-07"
"UNSW Research Training Program International (RTPI) / University International Postgraduate Award (UIPA) / Tuition Fee Scholarship","Australian Government RTP / UNSW Sydney","Australia (Sydney)","https://www.unsw.edu.au/research/hdr/scholarships","ELIGIBLE but both 2027 rounds closed; next 16 Apr 2027 for Term 1 2028. Scientia PhD Scholarship NOT verifiable (404, absent from list)","SCHOLARSHIP (tied; select round on admission application)","RTPI: ""Residency International ... Eligibility International applicants"" (same for UIPA and TFS).","No clause found on the two UNSW pages opened (T&Cs not opened).","None found.","RTPI: ""living allowance, tuition fee scholarship and single overseas student health cover (OSHC) ... $39,206 per annum (2026 rate) and a Tuition Fee Scholarship."" UIPA: same stipend + fees but NO OSHC listed. TFS: fees only, ""normally offered in conjunction with a Faculty or School funded living allowance"".","3.5 years PhD","Term 1 2027 round closed 17 Apr 2026; Term 2/3 2027 round closed 14 Aug 2026; Term 1 2028 round closes 16 Apr 2027. English evidence required ""before the scholarship deadline"" (IELTS 7.0 (6.0) / TOEFL 90 / PTE 64 / C1 Advanced 176). Stale ""GOstralia! HDR Scholarships ... For candidates from Germany, Austria and Switzerland"" entry references 2020 - one e-mail to international.grs@unsw.edu.au, not verified.","TIED","1, 4","2026-09-07"
"ANU Australian Government RTP Stipend Scholarship + RTP (International) Fee Offset - Research School of Earth Sciences","Australian Government, administered by ANU","Australia (Canberra)","https://study.anu.edu.au/scholarships/find-scholarship/australian-government-research-training-program-rtp-stipend","ELIGIBLE; 31 Aug 2026 international deadline just passed; next 15 Apr 2027","SCHOLARSHIP (tied; automatic on admission application)","""Student type / Domestic, International"". Conditions cl.5: available to a student who ""(a) is enrolled or enrolling full-time in a Higher Degree Research (HDR) program ...; (b) has demonstrated H1 or H1 equivalence in their prior studies; and (c) is not an Industry PhD candidate receiving a full-time salary.""","No clause found in scholarship page or Conditions of Award (9/2025).","None. H1-equivalence academic bar.","""$ 40,475 per annum (Full-time base RTP stipend rate 2027)""; travel/removal allowance ($2,500 international); thesis allowance up to $500; ""Dependant child allowance (International students only)""; paid medical/maternity/parental leave. OSHC: ""International recipients will be eligible for OSHC reimbursement under their RTP Fee Offset benefit ... including cover for the recipient's spouse and dependents"". Stipend alone does not pay fees - needs the RTP Fee Offset.","3.5 years (+6-month extension available)","Round 1: 31 Aug (international) for Jan-Mar start - 31 Aug 2026 passed; Round 2: 15 Apr 2027 (start by end Aug 2027); then 31 Aug 2027 (2028 start). Referee reports triggered at submission - submit 2-3 weeks early; contact HDR convener/supervisor first.","TIED","2, 4, 5 (RSES stable-isotope and organic geochemistry, palaeoclimate)","2026-09-07"
"Curtin University Australian Government RTP Scholarship (WA-Organic and Isotope Geochemistry Centre)","Australian Government, administered by Curtin","Australia (Perth)","https://www.curtin.edu.au/study/scholarships/research-training-program-rtp-scholarships/","ELIGIBLE (best scientific fit for lipid biomarkers/CSIA); 2026 EOI window closed - next 1-31 Jul 2027; WA-OIGC web pages do not resolve","SCHOLARSHIP (tied; EOI -> Invitation to Apply from a Curtin supervisor -> central ranking)","Procedures cl.2.2.1: ""An Australian Government RTP Scholarship applicant (Applicant) will be an international or domestic student eligible for admission into an accredited HDR program at Curtin"". Round page: ""Open to current and prospective domestic and international applicants.""","""Applicants who have previously completed a PhD qualification are not eligible to apply."" Procedures cl.2.6.3: priority for ""a Research Doctorate, where they currently do not hold an equivalent research qualification."" -> completion/holding-keyed; an incomplete enrolment is not caught.","None found.","RTP Fee Offset + RTP Stipend + RTP Allowance (may include ""for overseas students, a standard Overseas Student Health Cover policy ... which covers the student and their spouse and dependants""). Stipend amount NOT published on pages opened (in Conditions of Award) - assume >= Commonwealth base AUD 35,550 (2027); tax-exempt. ""RTP Scholarships are only available to PhD applicants.""","Commonwealth 3-4 years","""The RTP scholarship applications open on 1 July and close on 31 July"" (EOI within window); Invitation to Apply by end Aug; outcomes Nov; enrol by 31 Mar. 2026 window closed -> next 1-31 Jul 2027 (enrol by 31 Mar 2028). ""You can only be shortlisted once""; ""only the first nomination will be considered"". English: IELTS 6.5 (6.0) / TOEFL 81 / PTE 58 / C1 Advanced; exemption only for study in AU/NZ/IE/UK (1 semester) or CA/SG/ZA/US (1 year). Find a WA-OIGC supervisor via https://www.curtin.edu.au/research/our-researchers/.","TIED","2 (best in Australia), 1, 3, 5","2026-09-07"
"Flinders University Australian Government RTP Scholarship (reference for a hard prior-award bar)","Australian Government, administered by Flinders","Australia (Adelaide)","https://students.flinders.edu.au/my-course/hdr/resources/research-training-program-rules","CONDITIONAL - he passes, listed to show the exclusion wording; weaker field fit","SCHOLARSHIP (tied)","International applicants must be ""an international student (successful in securing an Australian Government RTP Scholarship (International) stipend)"".","""an AGRTPS will not be awarded to a student who ... Has previously held an AGRTPS (RTP stipend); an Australian Postgraduate Award (APA), or a Flinders University Research Scholarship (FURS) unless it was terminated within the first six months of the earlier award"" and excludes holders of ""a Research Doctorate or equivalent"". Both about Australian awards held / doctorate held - not triggered.","None found.","Page: ""$35,010 pa tax free for full-time study; or $17,505 pa taxable for part-time"" - does not match the Commonwealth 2026/2027 base; not verified.","Not captured","Not captured on page.","TIED","1, 4 (weak on organic geochemistry)","2026-09-07"
